VIN (1-10),State,Model Year,Make,Model,Electric Vehicle Type,Clean Alternative Fuel Vehicle (CAFV) Eligibility,Electric Range,2020 Census Tract
YV4BR0DZ0N,WA,2022,VOLVO,XC60,PHEV,False,18,53029971301
KNDJP3AE3J,WA,2018,KIA,SOUL EV,BEV,True,111,53033022205
WP1BE2AY4P,WA,2023,PORSCHE,CAYENNE,PHEV,False,14,53017950400
WAUSPBFF6H,WA,2017,AUDI,A3,PHEV,False,16,53035090901
1C4RJYB68N,WA,2022,JEEP,GRAND CHEROKEE,PHEV,False,25,53061053604
5UXTS1C09L,WA,2020,BMW,X3,PHEV,False,17,53033008102
2C4RC1N73M,WA,2021,CHRYSLER,PACIFICA,PHEV,True,32,53061041704
WBY1Z6C39H,WA,2017,BMW,I3,BEV,True,81,53033032704
WA1G2AFY2N,WA,2022,AUDI,Q5,PHEV,False,23,53005010814
4JGDA6DB6J,WA,2018,MERCEDES-BENZ,GLE-CLASS,PHEV,False,8,53033031601
5LMYJ9YY7P,WA,2023,LINCOLN,AVIATOR,PHEV,False,21,53061051912
1V2BMPE85P,WA,2023,VOLKSWAGEN,ID.4,BEV,False,0,53067011720
1G6RL1E45G,WA,2016,CADILLAC,ELR,PHEV,True,40,53039950302
YV4BR00L5L,WA,2020,VOLVO,XC90,PHEV,False,18,53011040604
1G1RG6E42E,WA,2014,CHEVROLET,VOLT,PHEV,True,38,53063013501
WA1F2BFY6M,WA,2021,AUDI,Q5 E,PHEV,False,19,53067011722
1GYKPPRL0R,WA,2024,CADILLAC,LYRIQ,BEV,False,0,53053073406
KM8KM4AE8N,WA,2022,HYUNDAI,IONIQ 5,BEV,False,0,53053060500
WA1G2AFYXN,WA,2022,AUDI,Q5,PHEV,False,23,53037975201
LVYBC0AL3J,WA,2018,VOLVO,S90,PHEV,False,21,53033022201
JTJHKCFZXN,WA,2022,LEXUS,NX,PHEV,True,37,53011041310
SALWR2RY0L,WA,2020,LAND ROVER,RANGE ROVER SPORT,PHEV,False,19,53033006800
YV1H60EP2P,WA,2023,VOLVO,V60,PHEV,True,41,53073010503
YV4H60DW7P,WA,2023,VOLVO,XC60,PHEV,True,35,53055960103
WMEFJ9BA9K,WA,2019,SMART,EQ FORTWO,BEV,True,58,53053073124
5LMYJ8XY1N,WA,2022,LINCOLN,AVIATOR,PHEV,False,21,53015001504
5YJSA1AG5D,WA,2013,TESLA,MODEL S,BEV,True,208,53033027300
YV4ED3ULXP,WA,2023,VOLVO,XC40,BEV,False,0,53033008900
YV4BR0CM8L,WA,2020,VOLVO,XC90,PHEV,False,18,53033032221
JM3KKEHA5R,WA,2024,MAZDA,CX-90,PHEV,False,26,53063004100
